anio,consumo,marca
2002,5.3,wine
2002,6.1,wine
2002,,wine
2002,1,wine
2002,8.7,wine
2002,6,wine
2002,2.5,wine
2002,2.2,wine
2002,6.1,wine
2002,7.9,wine
2002,3.5,wine
2002,5.8,wine
2002,2.7,wine
2002,2.1,wine
2002,4.5,wine
2002,4.4,wine
2002,5.8,wine
2002,4.1,wine
2002,,wine
2002,3,wine
2002,1.9,wine
2002,3.6,wine
2002,5.8,wine
2002,4.5,wine
2003,4.3,wine
2003,1.7,wine
2003,5.3,wine
2003,9.2,wine
2003,4.5,wine
2003,1.5,wine
2003,2.7,wine
2003,4,wine
2003,4.2,wine
2003,3.2,wine
2003,2.7,wine
2003,18.1,wine
2003,3.1,wine
2003,2.9,wine
2003,5.1,wine
2003,5.9,wine
2003,5.2,wine
2003,6,wine
2003,7.4,wine
2003,4.4,wine
2003,11.3,wine
2003,4.3,wine
2003,3,wine
2003,7.4,wine
2003,3.7,wine
2003,13.5,wine
2003,4.2,wine
2003,7.2,wine
2003,4.2,wine
2003,8.7,wine
2003,5.6,wine
2003,,wine
2003,3.5,wine
2003,3.3,wine
2003,8.1,wine
2003,2.7,wine
2003,4.8,wine
2003,4.4,wine
2003,3.5,wine
2003,6.2,wine
2003,4,wine
2003,6,wine
2003,9.2,wine
2003,5.8,wine
2003,5.5,wine
2003,3.5,wine
2003,3.9,wine
2003,2.5,wine
2003,3.8,wine
2003,7.7,wine
2003,6.8,wine
2003,1.7,wine
2003,13.5,wine
2003,6.4,wine
2003,8.3,wine
2003,2.1,wine
2003,4.4,wine
2003,2.9,wine
2003,2.1,wine
2003,6.6,wine
2003,3,wine
2003,5.2,wine
2003,7.2,wine
2003,,wine
2003,0.2,wine
2003,8.8,wine
2003,6.1,wine
2003,2.4,wine
2003,2.7,wine
2003,6.8,wine
2003,7.8,wine
2003,3.5,wine
2003,5,wine
2003,3.8,wine
2003,4.1,wine
2003,3.8,wine
2003,6.4,wine
2003,5,wine
2003,4.7,wine
2003,,wine
2003,3.6,wine
2003,3.8,wine
2003,4.7,wine
2003,5,wine
2003,3.8,wine
2004,4.1,wine
2004,2,wine
2004,5.2,wine
2004,7,wine
2004,4.8,wine
2004,1.2,wine
2004,3.1,wine
2004,5.7,wine
2004,6.3,wine
2004,3.7,wine
2004,3.3,wine
2004,14.2,wine
2004,3.4,wine
2004,2.8,wine
